,day.before.dep,dep_prob,id,site,year,date_opt_1,mean_tw,mean_ws,Jdate
1,7,0,233816,KS,2022,7/3/22,-0.321675709,3.086600502,184
2,6,0,233816,KS,2022,7/4/22,1.190128752,6.643955855,185
3,5,0,233816,KS,2022,7/5/22,-1.416562843,4.470128696,186
4,4,0,233816,KS,2022,7/6/22,-0.965907135,4.389069642,187
5,3,0,233816,KS,2022,7/7/22,-0.257807167,2.910717892,188
6,2,0,233816,KS,2022,7/8/22,0.1084262,3.734546286,189
7,1,0,233816,KS,2022,7/9/22,-1.24181939,7.682265243,190
8,0,1,233816,KS,2022,7/10/22,1.114704209,5.551177526,191
9,7,0,233818,KS,2022,7/3/22,-0.210882777,2.914983381,184
10,6,0,233818,KS,2022,7/4/22,0.742004611,6.226633189,185
11,5,0,233818,KS,2022,7/5/22,0.263522226,4.61981819,186
12,4,0,233818,KS,2022,7/6/22,-0.74761548,3.837230367,187
13,3,0,233818,KS,2022,7/7/22,0.323929083,2.315411469,188
14,2,0,233818,KS,2022,7/8/22,-0.940975289,4.703605699,189
15,1,0,233818,KS,2022,7/9/22,0.671988708,7.228026518,190
16,0,1,233818,KS,2022,7/10/22,0.160758055,4.429475725,191
17,7,0,233819,KS,2022,7/3/22,-0.210882777,2.914983381,184
18,6,0,233819,KS,2022,7/4/22,0.742004611,6.226633189,185
19,5,0,233819,KS,2022,7/5/22,0.263522226,4.61981819,186
20,4,0,233819,KS,2022,7/6/22,-0.74761548,3.837230367,187
21,3,0,233819,KS,2022,7/7/22,0.323929083,2.315411469,188
22,2,0,233819,KS,2022,7/8/22,-0.940975289,4.703605699,189
23,1,0,233819,KS,2022,7/9/22,0.671988708,7.228026518,190
24,0,1,233819,KS,2022,7/10/22,0.160758055,4.429475725,191
25,7,0,233821,KS,2022,7/25/22,1.418040764,10.36109981,206
26,6,0,233821,KS,2022,7/26/22,0.125815673,5.15153248,207
27,5,0,233821,KS,2022,7/27/22,0.096526776,6.831235671,208
28,4,0,233821,KS,2022,7/28/22,0.101800923,5.051250456,209
29,3,0,233821,KS,2022,7/29/22,0.019523573,3.044996089,210
30,2,0,233821,KS,2022,7/30/22,-1.186798898,4.288833065,211
31,1,0,233821,KS,2022,7/31/22,0.096991013,5.106381862,212
32,0,1,233821,KS,2022,8/1/22,-0.583753039,8.856409338,213
33,7,0,233820,KS,2022,6/21/22,-1.131384932,7.80901367,172
34,6,0,233820,KS,2022,6/22/22,2.785363111,7.0302285,173
35,5,0,233820,KS,2022,6/23/22,0.113068656,2.907741116,174
36,4,0,233820,KS,2022,6/24/22,0.436966449,2.228289099,175
37,3,0,233820,KS,2022,6/25/22,-3.010946094,10.15426246,176
38,2,0,233820,KS,2022,6/26/22,-1.055595119,12.9867585,177
39,1,0,233820,KS,2022,6/27/22,0.189487433,7.910511185,178
40,0,1,233820,KS,2022,6/28/22,1.132689092,3.413456145,179
41,7,0,233824,KS,2022,7/1/22,-0.594737367,4.440547151,182
42,6,0,233824,KS,2022,7/2/22,0.828288897,3.647607985,183
43,5,0,233824,KS,2022,7/3/22,-0.128312289,2.17024637,184
44,4,0,233824,KS,2022,7/4/22,-0.598636644,5.512226841,185
45,3,0,233824,KS,2022,7/5/22,0.755019853,3.389801836,186
46,2,0,233824,KS,2022,7/6/22,-0.635701654,3.682346711,187
47,1,0,233824,KS,2022,7/7/22,-0.024753484,2.189448302,188
48,0,1,233824,KS,2022,7/8/22,-0.610981971,3.348858827,189
49,7,0,233817,KS,2022,6/25/22,-1.713476331,9.01003771,176
50,6,0,233817,KS,2022,6/26/22,-0.139372567,10.38374904,177
51,5,0,233817,KS,2022,6/27/22,-0.070604695,6.460989621,178
52,4,0,233817,KS,2022,6/28/22,0.093655523,3.186009304,179
53,3,0,233817,KS,2022,6/29/22,-0.04704514,2.938311355,180
54,2,0,233817,KS,2022,6/30/22,-0.006114277,5.877608012,181
55,1,0,233817,KS,2022,7/1/22,-0.594737367,4.440547151,182
56,0,1,233817,KS,2022,7/2/22,0.828288897,3.647607985,183
57,7,0,233815,KS,2022,7/3/22,-0.128312289,2.17024637,184
58,6,0,233815,KS,2022,7/4/22,-0.598636644,5.512226841,185
59,5,0,233815,KS,2022,7/5/22,0.755019853,3.389801836,186
60,4,0,233815,KS,2022,7/6/22,-0.635701654,3.682346711,187
61,3,0,233815,KS,2022,7/7/22,-0.024753484,2.189448302,188
62,2,0,233815,KS,2022,7/8/22,-0.610981971,3.348858827,189
63,1,0,233815,KS,2022,7/9/22,1.091223928,5.87113405,190
64,0,1,233815,KS,2022,7/10/22,-1.162532828,4.120304188,191
65,7,0,233823,KS,2022,6/21/22,-1.131384932,7.80901367,172
66,6,0,233823,KS,2022,6/22/22,2.785363111,7.0302285,173
67,5,0,233823,KS,2022,6/23/22,0.113068656,2.907741116,174
68,4,0,233823,KS,2022,6/24/22,0.436966449,2.228289099,175
69,3,0,233823,KS,2022,6/25/22,-3.010946094,10.15426246,176
70,2,0,233823,KS,2022,6/26/22,-1.055595119,12.9867585,177
71,1,0,233823,KS,2022,6/27/22,0.189487433,7.910511185,178
72,0,1,233823,KS,2022,6/28/22,1.132689092,3.413456145,179
73,7,0,181624,Beluga,2022,7/7/22,-0.118447202,2.635590577,188
74,6,0,181624,Beluga,2022,7/8/22,0.411260919,4.721820979,189
75,5,0,181624,Beluga,2022,7/9/22,0.220303607,3.081565572,190
76,4,0,181624,Beluga,2022,7/10/22,-0.110067942,2.314656634,191
77,3,0,181624,Beluga,2022,7/11/22,0.054600901,2.761277987,192
78,2,0,181624,Beluga,2022,7/12/22,-0.986828832,2.739527109,193
79,1,0,181624,Beluga,2022,7/13/22,0.163577598,3.400438642,194
80,0,1,181624,Beluga,2022,7/14/22,-0.397860758,2.492410837,195
81,7,0,181626,Beluga,2022,7/19/22,-0.138361621,6.216252693,200
82,6,0,181626,Beluga,2022,7/20/22,0.241632375,4.096890016,201
83,5,0,181626,Beluga,2022,7/21/22,-0.356465379,3.230142751,202
84,4,0,181626,Beluga,2022,7/22/22,-0.154299148,3.596476613,203
85,3,0,181626,Beluga,2022,7/23/22,-0.015105863,2.074981368,204
86,2,0,181626,Beluga,2022,7/24/22,-0.493251206,2.561170718,205
87,1,0,181626,Beluga,2022,7/25/22,-1.708572646,5.874995798,206
88,0,1,181626,Beluga,2022,7/26/22,1.058791046,8.581380306,207
89,7,0,233813,Beluga,2022,7/23/22,-0.034999016,1.351716831,204
90,6,0,233813,Beluga,2022,7/24/22,-0.11222782,1.480080104,205
91,5,0,233813,Beluga,2022,7/25/22,0.468149169,3.985378369,206
92,4,0,233813,Beluga,2022,7/26/22,-0.838759409,4.885278624,207
93,3,0,233813,Beluga,2022,7/27/22,-0.002803618,1.512366893,208
94,2,0,233813,Beluga,2022,7/28/22,-0.572040779,2.732620191,209
95,1,0,233813,Beluga,2022,7/29/22,0.211564933,1.256115111,210
96,0,1,233813,Beluga,2022,7/30/22,-0.110647314,1.425090073,211
97,7,0,233811,Beluga,2022,6/27/22,-0.04566785,2.595982771,178
98,6,0,233811,Beluga,2022,6/28/22,-0.202231318,1.77794395,179
99,5,0,233811,Beluga,2022,6/29/22,-0.025634415,2.192211172,180
100,4,0,233811,Beluga,2022,6/30/22,0.424890521,3.05650178,181
101,3,0,233811,Beluga,2022,7/1/22,0.09760964,1.960461888,182
102,2,0,233811,Beluga,2022,7/2/22,0.278126158,1.188649867,183
103,1,0,233811,Beluga,2022,7/3/22,-0.000471051,2.071950038,184
104,0,1,233811,Beluga,2022,7/4/22,-0.203859584,2.205404138,185
105,7,0,181625,Beluga,2022,7/3/22,0.626464831,2.547840882,184
106,6,0,181625,Beluga,2022,7/4/22,1.140853166,2.730478414,185
107,5,0,181625,Beluga,2022,7/5/22,0.142378744,2.709770433,186
108,4,0,181625,Beluga,2022,7/6/22,-0.574053738,3.057871537,187
109,3,0,181625,Beluga,2022,7/7/22,-0.195943716,1.839411767,188
110,2,0,181625,Beluga,2022,7/8/22,-0.093759802,2.821181538,189
111,1,0,181625,Beluga,2022,7/9/22,-0.296797715,1.322814146,190
112,0,1,181625,Beluga,2022,7/10/22,0.084940471,1.887876241,191
113,7,0,233812,Beluga,2022,7/5/22,0.054669213,3.207209237,186
114,6,0,233812,Beluga,2022,7/6/22,-0.286419125,3.54913451,187
115,5,0,233812,Beluga,2022,7/7/22,0.341945522,2.475174664,188
116,4,0,233812,Beluga,2022,7/8/22,-0.7279791,3.437090571,189
117,3,0,233812,Beluga,2022,7/9/22,0.044640623,1.238337149,190
118,2,0,233812,Beluga,2022,7/10/22,0.109622446,1.917645584,191
119,1,0,233812,Beluga,2022,7/11/22,-0.074563596,2.382809747,192
120,0,1,233812,Beluga,2022,7/12/22,0.054733426,1.951461239,193
121,7,0,198767,Beluga,2021,7/4/21,-0.015304785,1.796338881,185
122,6,0,198767,Beluga,2021,7/5/21,-0.062442619,2.390060704,186
123,5,0,198767,Beluga,2021,7/6/21,1.09611775,4.227695313,187
124,4,0,198767,Beluga,2021,7/7/21,0.804645385,3.250167391,188
125,3,0,198767,Beluga,2021,7/8/21,-0.577077455,2.771916336,189
126,2,0,198767,Beluga,2021,7/9/21,-0.455829359,2.343170808,190
127,1,0,198767,Beluga,2021,7/10/21,0.383855379,1.754390545,191
128,0,1,198767,Beluga,2021,7/11/21,-0.007753785,1.233522399,192